380.46,1.03,91.21,-0.45,11.58,8.86,7,2,12,109,4,0,0,2,2,3,-4,4,562,631,0.001,1
441.45,0.95,127.51,0.94,14.54,6,8,2,7,108,3,1,0,0,0,1,-5,5,587,612,0.001,1
418.45,3.63,82.28,2.36,9.68,9.02,4,3,7,126,5,2,0,4,4,3,-7,5,563,556,0.001,1
506.61,3.82,75,3.18,11.89,7.92,7,1,13,140,5,1,0,2,2,3,-4,7,755,812,0.002,1
402.27,1.34,130.23,1.34,10.68,3.28,7,4,7,92,2,1,0,0,0,1,-4,6,470,555,0.004,1
419.44,3.41,125.21,3.41,9.3,1.7,5,4,6,116,4,3,0,0,3,1,-7,5,571,660,0.0065,1
473.62,4.49,81.59,4.45,14.69,6.35,6,2,4,139,6,3,2,2,4,2,-6,7,702,685,0.008,1
447.54,2.77,103.35,1.3,11.34,8.86,8,2,8,127,5,1,0,2,2,3,-5,5,648,690,0.009,1
432.48,2.66,111.38,2.6,9.34,6.5,6,4,16,133,5,3,0,0,3,1,-7,4,600,671,0.009,1
497.51,4.15,145.44,4.14,9.09,1.7,6,5,5,138,5,4,0,0,3,1,-7,7,659,766,0.009,1
346.47,3.82,63.84,3.82,10.05,3.3,4,1,5,92,3,0,0,0,0,3,-5,6,482,569,0.009,1
538.47,6.51,73.75,5.19,14.08,8.7,7,2,7,149,4,3,0,0,0,1,-8,11,749,811,0.01,1
430.45,3.25,108.19,3.25,11.8,2.5,7,3,5,101,3,2,0,0,0,1,-7,8,576,661,0.011,1
395.42,3.01,87.12,2.92,8.06,-2.8,3,3,3,112,7,3,0,5,7,2,-7,1,493,494,0.018,1
431.5,1.96,113.34,0.51,9.24,10.02,5,3,10,124,5,3,0,0,3,1,-6,4,604,658,0.02,1
425.45,1.1,116.38,1,8.04,5.61,5,4,16,121,7,3,0,5,7,2,-6,1,532,532,0.027,1
338.51,5.35,24.92,4.85,18.23,7.73,2,1,6,105,3,2,0,0,2,1,-5,7,523,632,0.029,1
418.25,3.89,66.89,3.8,8.05,-7.13,2,2,3,106,6,3,0,5,6,2,-8,0,440,485,0.038,1
316.44,5.31,50.17,5.31,12.9,3.54,4,1,10,89,3,0,0,2,2,3,-7,4,426,552,0.05,1
417.56,5.14,62.31,3.62,15.36,8.91,6,2,7,125,5,3,0,2,2,1,-7,5,654,700,0.055,1
464.57,3.37,60.22,0.99,13.52,9.84,3,2,8,136,8,4,2,5,8,2,-6,2,650,572,0.059,1
324.34,3.58,61.96,3.5,8.12,-6.89,2,2,2,95,6,4,0,3,6,1,-8,0,398,454,0.059,1
469.84,3.28,90.23,3.2,6.6,7.42,6,3,11,113,4,2,0,2,2,1,-5,4,567,592,0.061,1
337.34,2.57,74.85,2.49,8.09,4.2,3,2,3,97,6,3,0,5,6,2,-8,0,400,454,0.069,1
418.25,3.92,66.89,3.83,8.03,-7.14,2,2,3,106,6,3,0,5,6,2,-8,0,439,488,0.074,1
469.5,2.09,127.58,2,8.04,-3.29,5,5,5,128,7,4,0,5,6,2,-7,1,595,563,0.076,1
252.28,1.45,68,1.45,15.1,3.06,5,1,5,83,4,1,0,2,2,3,-3,3,341,451,0.08,1
339.35,3.15,66.89,3.06,8.04,-7.14,2,2,3,99,6,3,0,5,6,2,-7,0,420,475,0.08,1
364.45,2.56,64.6,1.9,14.68,7.96,6,1,10,109,4,1,0,2,2,2,-4,4,539,606,0.085,1
315.33,3.63,71.09,3.63,10.82,3.84,3,2,4,93,4,3,0,0,3,1,-6,2,411,437,0.1,1
401.84,2.44,90.23,2.34,6.67,7.31,6,3,12,107,4,2,0,2,2,1,-4,2,514,496,0.1,1
302.41,5.01,50.17,5.01,12.91,3.48,4,1,10,85,3,0,0,2,2,3,-7,4,391,542,0.12,1
293.37,4.63,47.04,4.63,14.02,3.06,4,1,4,87,3,2,0,2,2,1,-6,4,450,547,0.125,1
403.44,2.14,86.27,1.83,8.57,7.9,6,2,17,116,6,2,2,4,6,2,-5,0,533,487,0.13,1
346.47,3.23,63.84,3.22,11.75,5.3,4,1,6,92,3,0,0,0,0,3,-4,6,482,562,0.13,1
418.5,2.27,87.81,0.95,13.8,8.7,7,2,10,120,4,1,0,2,2,3,-5,8,625,717,0.15,1
404.22,3.7,77.75,3.61,8.03,-7.14,2,3,3,101,6,3,0,5,6,2,-9,0,405,463,0.16,1
319.41,5.06,47.04,5.06,14,3.04,4,1,3,95,4,3,0,2,2,1,-7,4,482,559,0.166,1
366.43,1.27,102.15,-0.36,10.43,9.21,4,4,11,105,5,1,2,0,3,1,-4,3,509,524,0.22,1
326.42,2.27,88.75,0.37,13.09,9.33,6,3,10,93,3,1,0,0,0,2,-4,5,457,587,0.23,1
501.5,1.38,146.04,1.29,8.03,-2.98,7,5,7,131,7,3,0,5,6,2,-6,3,626,606,0.28,1
340.39,1.01,102.15,0.1,10.41,8.25,4,4,12,97,4,1,2,0,3,1,-4,4,478,533,0.29,1
390.49,4.8,70.51,4.78,8.69,3.5,6,2,4,114,5,3,0,2,2,1,-7,4,578,606,0.325,1
393.4,3.76,65.26,3.67,8.03,-4.41,3,1,4,110,8,3,2,5,8,2,-6,0,469,473,0.54,1
285.33,-0.19,32.11,-0.19,12.54,-1.04,2,1,8,100,5,2,3,0,5,0,-5,0,342,405,0.55,1
310.42,5.39,50.17,5.39,14.12,4.76,4,1,8,93,3,1,0,2,2,2,-7,4,447,564,0.61,1
311.42,2.24,68.02,2.15,8.03,0.56,3,1,7,80,2,0,0,0,0,2,-4,5,440,546,0.69,1
442.57,4.63,74.48,3.97,14.58,7.96,7,1,7,143,5,1,0,2,2,3,-6,7,678,723,0.8,1
334.34,3.71,120.53,3.71,11.66,1.35,6,2,1,92,3,1,0,0,0,2,-6,4,450,538,0.96,1
637.32,7.15,73.75,5.83,13.86,8.7,7,2,8,147,3,2,0,0,0,1,-8,13,773,816,1,1
401.77,4.24,79.46,4.24,12.85,-1,3,3,6,95,2,2,0,0,0,0,-6,7,496,634,1.2,1
348.36,1.99,110.1,1.64,9.35,7.77,5,3,10,98,4,3,0,0,3,1,-6,4,460,569,1.4,1
456.59,5.12,87.03,5.12,13.27,5.09,6,4,4,140,5,3,0,2,2,2,-6,8,692,754,1.5,1
299.33,2.76,79.46,2.76,12.93,-0.93,3,3,7,85,2,2,0,0,0,0,-4,6,431,569,1.9,0
424.46,4.4,125.68,3.27,10.21,8.7,9,3,11,117,3,2,0,0,0,1,-6,10,612,727,2,0
